Teacher ID,LASRRA ID,First Name,Last Name,Gender,Age,Date of Birth,State of Origin,Years of Experience,Qualification,Home Address,Email,Phone Number,Residence Type,LGA of residence,Digital Literacy,Salary ₦,Teaching Level,Subject Specialization
TCH001,2287010195568088798,Maxwell,Omesili,Male,38,1986-11-24,Ondo,6,Master's,"4, Road in Ifako-Ijaye, Lagos State",maxwell.omesili@laurelhigh.com,+2347066629388,Lives in School,Ifako-Ijaye,High,114196,Junior,Christian Religious Studies
TCH002,6994125922663206833,Chinonso,Okeke,Female,47,1977-04-15,Kebbi,1,NCE,"78, Street in Badagry, Lagos State",chinonso.okeke@laurelhigh.com,+2347066722344,Lives Outside School,Badagry,Medium,102124,Junior,Christian Religious Studies
TCH003,8816755856521171598,Edward,Ogunyemi,Female,42,1982-10-09,Kwara,30,Master's,"14, Street in Lagos Island, Lagos State",edward.ogunyemi@laurelhigh.com,+2347026753883,Lives Outside School,Lagos Island,High,75353,Senior,Commerce
TCH004,8130296919575202446,Joseph,Abubakar,Female,31,1993-02-28,Kaduna,7,Bachelor's,"91, Street in Mushin, Lagos State",joseph.abubakar@laurelhigh.com,+2347047308985,Lives Outside School,Mushin,Low,223346,Senior,Computer Studies
TCH005,7304614435198113865,Ifeanyi,Ehanmo,Male,38,1986-10-21,Gombe,35,Master's,"27, Road in Lagos Mainland, Lagos State",ifeanyi.ehanmo@laurelhigh.com,+2347042857966,Lives in School,Lagos Mainland,Medium,233977,Senior,Literature
TCH006,8157335935752876748,Daniel,Osakwe,Male,40,1984-04-27,Kwara,21,Bachelor's,"29, Road in Ikorodu, Lagos State",daniel.osakwe@laurelhigh.com,+2347045935572,Lives in School,Ikorodu,High,270948,Senior,Christian Religious Studies
TCH007,2287862428927733726,Umar,Omora,Male,44,1980-12-18,Ondo,17,Master's,"51, Road in Amuwo-Odofin, Lagos State",umar.omora@laurelhigh.com,+2347088461803,Lives Outside School,Amuwo-Odofin,Low,87452,Senior,Commerce
TCH008,8942272537785782677,Maxwell,Bello,Male,32,1992-03-21,Gombe,28,Master's,"66, Avenue in Ikeja, Lagos State",maxwell.bello@laurelhigh.com,+2347018526544,Lives Outside School,Ikeja,Medium,248123,Senior,Physics
TCH009,9160733075610046999,Ifeoma,Egbon,Female,53,1971-11-11,Adamawa,19,Bachelor's,"2, Road in Ikorodu, Lagos State",ifeoma.egbon@laurelhigh.com,+2347031227574,Lives Outside School,Ikorodu,High,80029,Senior,Further Mathematics
TCH010,8763029534829895848,Kingsley,Mohammed,Male,57,1967-03-12,Gombe,35,Master's,"65, Street in Kosofe, Lagos State",kingsley.mohammed@laurelhigh.com,+2347010076758,Lives Outside School,Kosofe,Medium,213918,Junior,Agricultural Science
TCH011,6232944112327802040,Fatima,Oluwole,Male,31,1993-02-24,Ekiti,5,Master's,"40, Street in Lagos Mainland, Lagos State",fatima.oluwole@laurelhigh.com,+2347026879290,Lives in School,Lagos Mainland,Low,113143,Senior,Chemistry
TCH012,5974128472756405854,Clement,Baba,Male,43,1981-12-10,Akwa Ibom,24,Bachelor's,"68, Road in Shomolu, Lagos State",clement.baba@laurelhigh.com,+2347079467853,Lives Outside School,Shomolu,High,105521,Junior,Fine Arts
TCH013,3031146915057631986,Abiodun,Yahaya,Male,47,1977-02-23,Nasarawa,15,NCE,"3, Road in Lagos Island, Lagos State",abiodun.yahaya@laurelhigh.com,+2347014216175,Lives Outside School,Lagos Island,High,110323,Junior,Literature
TCH014,9138547350118194294,Tunde,Ibiam,Female,34,1990-04-26,Rivers,27,NCE,"28, Road in Amuwo-Odofin, Lagos State",tunde.ibiam@laurelhigh.com,+2347022660194,Lives in School,Amuwo-Odofin,Low,239622,Senior,Accounting
TCH015,1907744669384575297,Mustapha,Danladi,Male,31,1993-07-24,Anambra,7,NCE,"60, Road in Ojo, Lagos State",mustapha.danladi@laurelhigh.com,+2347035714784,Lives in School,Ojo,Low,226518,Senior,French
TCH016,1695302883601228412,Mustapha,Danladi,Female,37,1987-09-04,Nasarawa,35,NCE,"36, Avenue in Kosofe, Lagos State",mustapha.danladi@laurelhigh.com,+2347022517517,Lives in School,Kosofe,High,279241,Senior,English
TCH017,3446066468969950756,John-pius,Grace,Female,35,1989-05-14,Osun,32,NCE,"52, Street in Mushin, Lagos State",john-pius.grace@laurelhigh.com,+2347035487660,Lives Outside School,Mushin,High,149345,Junior,Technical Drawing
TCH018,9479849510006869348,Samuel,Ogunleye,Male,48,1976-01-17,Benue,12,NCE,"8, Street in Lagos Island, Lagos State",samuel.ogunleye@laurelhigh.com,+2347089864260,Lives in School,Lagos Island,Low,174987,Junior,Business Studies
TCH019,1756163466528541029,Emmanuel,Jayeola,Female,49,1975-11-19,Oyo,34,Bachelor's,"32, Road in Ibeju-Lekki, Lagos State",emmanuel.jayeola@laurelhigh.com,+2347044999379,Lives in School,Ibeju-Lekki,Low,60418,Senior,Music
TCH020,3916219870381910901,Saidu,Olayinka,Male,50,1974-01-15,Oyo,7,NCE,"17, Road in Surulere, Lagos State",saidu.olayinka@laurelhigh.com,+2347082160068,Lives in School,Surulere,Low,128642,Senior,French
TCH021,5041539281043462328,Peter,Rasaki,Female,41,1983-10-26,Ogun,1,Master's,"9, Street in Lagos Mainland, Lagos State",peter.rasaki@laurelhigh.com,+2347084437458,Lives Outside School,Lagos Mainland,Low,124707,Junior,French
TCH022,3598742930813918425,Saidu,Olayinka,Male,47,1977-12-11,Jigawa,17,Master's,"14, Road in Ifako-Ijaye, Lagos State",saidu.olayinka@laurelhigh.com,+2347075569635,Lives Outside School,Ifako-Ijaye,High,90749,Junior,Physics
TCH023,6876333684687988128,Nwanyinnaya,Patrick,Female,40,1984-03-24,Delta,28,Master's,"6, Street in Shomolu, Lagos State",nwanyinnaya.patrick@laurelhigh.com,+2347011297845,Lives in School,Shomolu,High,252144,Junior,Technical Drawing
TCH024,1385803164556739842,Ayodele,Elaigwu,Female,34,1990-06-26,Kwara,23,NCE,"75, Road in Lagos Mainland, Lagos State",ayodele.elaigwu@laurelhigh.com,+2347043491314,Lives in School,Lagos Mainland,Medium,162666,Senior,Basic Technology
TCH025,2654310115628049978,Daniel,Osakwe,Female,58,1966-07-26,Kano,18,NCE,"21, Street in Oshodi-Isolo, Lagos State",daniel.osakwe@laurelhigh.com,+2347024508349,Lives Outside School,Oshodi-Isolo,High,158080,Senior,Fine Arts
TCH026,3099197898528851659,Sani,Igbo,Male,56,1968-01-22,Yobe,26,Bachelor's,"45, Avenue in Ajeromi-Ifelodun, Lagos State",sani.igbo@laurelhigh.com,+2347047393469,Lives in School,Ajeromi-Ifelodun,Medium,258495,Senior,Further Mathematics
TCH027,3409284955653549218,Sunday,Ekanem,Male,33,1991-10-09,Kwara,7,Master's,"43, Street in Ikorodu, Lagos State",sunday.ekanem@laurelhigh.com,+2347068326160,Lives Outside School,Ikorodu,Low,279910,Senior,Physics
TCH028,3349400463812133037,Asukwo,Ogidi,Male,58,1966-12-14,Abuja,34,Master's,"15, Avenue in Badagry, Lagos State",asukwo.ogidi@laurelhigh.com,+2347036445607,Lives Outside School,Badagry,Medium,201149,Junior,English
TCH029,5677379567439178640,Samuel,Njoku,Female,53,1971-11-14,Abia,26,Master's,"85, Street in Lagos Island, Lagos State",samuel.njoku@laurelhigh.com,+2347049682169,Lives in School,Lagos Island,High,285941,Senior,Economics
TCH030,8689757449666272482,Nanle,Mohammed,Male,39,1985-05-10,Jigawa,28,Master's,"79, Road in Kosofe, Lagos State",nanle.mohammed@laurelhigh.com,+2347091424737,Lives Outside School,Kosofe,Medium,156450,Senior,Chemistry
TCH031,8342032518284545223,Lateef,Ogbonna,Male,55,1969-11-03,Sokoto,33,Master's,"66, Avenue in Mushin, Lagos State",lateef.ogbonna@laurelhigh.com,+2347094951883,Lives Outside School,Mushin,High,286239,Junior,Government
TCH032,5382359237475646244,Ngozi,Igwe,Male,31,1993-08-14,Oyo,13,Master's,"19, Street in Mushin, Lagos State",ngozi.igwe@laurelhigh.com,+2347061536717,Lives Outside School,Mushin,Medium,114184,Junior,Basic Technology
