Parent ID,LASRRA ID,Student ID,First Name,Last Name,Gender,State of Origin,Title,Age,Date of Birth,Email,Phone Number,Home Address,Occupation,Financial Status,Education Level,Engagement in School Activities,LGA of residence
PAR001,3058755736454904720,STU066,Amomot,Arinze,Male,Plateau,Chief,53,1971-02-19,amomot.arinze@gmail.com,+2347066629388,"66, Avenue in Amuwo-Odofin, Lagos State",Farmer,Low Income,Primary,High,Shomolu
PAR002,2833953597603037606,STU600,Sunday,Ogundele,Female,Kaduna,Prof.,49,1975-10-09,sunday.ogundele@gmail.com,+2347010872248,"74, Road in Agege, Lagos State",Teacher,High Income,Secondary,Medium,Agege
PAR002,2833953597603037606,STU309,Sunday,Ogundele,Female,Borno,Mrs.,49,1975-06-04,sunday.ogundele@gmail.com,+2347022448136,"74, Road in Agege, Lagos State",Medical Professional,Low Income,Secondary,Medium,Agege
PAR003,2151318126898855557,STU285,Sodiq,Onyeka,Female,Benue,Chief,31,1993-05-27,sodiq.onyeka@gmail.com,+2347094374605,"88, Avenue in Mushin, Lagos State",Business,Middle Income,Tertiary,High,Ajeromi-Ifelodun
PAR003,2151318126898855557,STU264,Sodiq,Onyeka,Male,Kwara,Mrs.,31,1993-05-03,sodiq.onyeka@gmail.com,+2347041244663,"88, Avenue in Mushin, Lagos State",Farmer,Middle Income,Secondary,Medium,Ajeromi-Ifelodun
PAR003,2151318126898855557,STU570,Sodiq,Onyeka,Female,Gombe,Dr.,31,1993-06-07,sodiq.onyeka@gmail.com,+2347099949389,"88, Avenue in Mushin, Lagos State",Engineer,High Income,Tertiary,Low,Ajeromi-Ifelodun
PAR004,7725007747957220359,STU555,Naomi,Balogun,Male,Gombe,Prof.,50,1974-07-09,naomi.balogun@gmail.com,+2347095899313,"91, Street in Shomolu, Lagos State",Civil Servant,High Income,Primary,Low,Kosofe
PAR005,8579791085629793529,STU490,Augustina,Aminu,Male,Abia,Prof.,54,1970-05-03,augustina.aminu@gmail.com,+2347038317637,"5, Road in Eti-Osa, Lagos State",Business,High Income,Secondary,High,Alimosho
PAR005,8579791085629793529,STU597,Augustina,Aminu,Female,Akwa Ibom,Prof.,54,1970-03-09,augustina.aminu@gmail.com,+2347028740864,"5, Road in Eti-Osa, Lagos State",Teacher,High Income,Tertiary,Low,Alimosho
PAR005,8579791085629793529,STU434,Augustina,Aminu,Female,Cross River,Chief,54,1970-07-12,augustina.aminu@gmail.com,+2347039436733,"5, Road in Eti-Osa, Lagos State",Teacher,High Income,Secondary,High,Alimosho
PAR006,2475573469350481348,STU513,Nnamdi,Ejugwu,Female,Niger,Prof.,33,1991-07-20,nnamdi.ejugwu@gmail.com,+2347072820592,"49, Road in Ifako-Ijaye, Lagos State",Business,Middle Income,Tertiary,High,Ikeja
PAR007,3461027963323909904,STU060,Zahra,Okolie,Female,Adamawa,Dr.,58,1966-07-06,zahra.okolie@gmail.com,+2347070897765,"65, Avenue in Amuwo-Odofin, Lagos State",Farmer,High Income,Tertiary,Medium,Ikorodu
PAR008,6767376333275024918,STU117,Hassan,Ogunyemi,Female,Lagos,Chief,59,1965-04-05,hassan.ogunyemi@gmail.com,+2347060185867,"37, Avenue in Shomolu, Lagos State",Teacher,High Income,Tertiary,High,Ifako-Ijaye
PAR008,6767376333275024918,STU005,Hassan,Ogunyemi,Female,Ekiti,Mr.,59,1965-02-12,hassan.ogunyemi@gmail.com,+2347051273847,"37, Avenue in Shomolu, Lagos State",Teacher,Low Income,Primary,Low,Ifako-Ijaye
PAR009,1638372760919664224,STU133,Blessing,Oshodi,Male,Bauchi,Prof.,53,1971-09-06,blessing.oshodi@gmail.com,+2347045575298,"71, Road in Kosofe, Lagos State",Business,High Income,Secondary,High,Amuwo-Odofin
PAR010,7195218732202204094,STU456,Kelechi,Ahmad,Female,Delta,Chief,39,1985-08-04,kelechi.ahmad@gmail.com,+2347043273328,"91, Avenue in Mushin, Lagos State",Teacher,Low Income,Secondary,High,Surulere
PAR010,7195218732202204094,STU330,Kelechi,Ahmad,Male,Kaduna,Mr.,39,1985-02-23,kelechi.ahmad@gmail.com,+2347094705205,"91, Avenue in Mushin, Lagos State",Farmer,Low Income,Primary,High,Surulere
PAR011,7170230914338670907,STU320,Nwanyinnaya,Ibiam,Female,Jigawa,Chief,46,1978-03-24,nwanyinnaya.ibiam@gmail.com,+2347086644106,"20, Street in Ibeju-Lekki, Lagos State",Business,Middle Income,Primary,Medium,Oshodi-Isolo
