Student ID,First Name,Last Name,Gender,Age,Date of Birth,Health Status,Disorder,State of Origin,LGA of residence,Home Address,Living Arrangement,Email,Grade Level,Stream,Extracurricular Activities,Admission Date,Graduation Date
STU001,Ijeoma,Ochoja,Male,13,2011-08-11,Poor,No,Kogi,Badagry,"49, Avenue in Badagry, Lagos State",Day,ijeoma.ochoja@laurelhigh.com,JSS1,General,Clubs,2019-09-01,2024-06-30
STU002,Kingsley,Nwadi,Female,20,2004-08-22,Good,No,Gombe,Alimosho,"11, Avenue in Alimosho, Lagos State",Day,kingsley.nwadi@laurelhigh.com,JSS3,General,None,2017-09-01,2020-06-30
STU003,Sani,Egbon,Male,16,2008-11-22,Average,No,Lagos,Lagos Mainland,"15, Avenue in Lagos Mainland, Lagos State",Boarding,sani.egbon@laurelhigh.com,JSS3,General,Sports,2017-09-01,2020-06-30
STU004,Harisu,Ibiam,Female,14,2010-05-10,Poor,No,Nasarawa,Mushin,"28, Street in Mushin, Lagos State",Day,harisu.ibiam@laurelhigh.com,JSS2,General,None,2021-09-01,2025-06-30
STU005,Mhungur,James,Female,18,2006-06-03,Good,No,Imo,Oshodi-Isolo,"72, Road in Oshodi-Isolo, Lagos State",Day,mhungur.james@laurelhigh.com,JSS2,General,None,2021-09-01,2025-06-30
STU006,Sunday,Egbon,Female,19,2005-11-14,Good,No,Abia,Ojo,"52, Road in Ojo, Lagos State",Day,sunday.egbon@laurelhigh.com,JSS2,General,None,2018-09-01,2022-06-30
STU007,Ayodele,Oluwole,Female,16,2008-07-19,Good,Yes,Edo,Apapa,"14, Street in Apapa, Lagos State",Boarding,ayodele.oluwole@laurelhigh.com,JSS3,General,None,2021-09-01,2024-06-30
STU008,Tajudeen,Stephen,Male,18,2006-09-17,Good,No,Anambra,Apapa,"82, Street in Apapa, Lagos State",Day,tajudeen.stephen@laurelhigh.com,JSS1,General,None,2019-09-01,2024-06-30
STU009,Jamilu,Adeleke,Female,12,2012-11-03,Poor,No,Borno,Mushin,"78, Street in Mushin, Lagos State",Boarding,jamilu.adeleke@laurelhigh.com,JSS1,General,None,2018-09-01,2023-06-30
STU010,Oluwaseun,Kelechi,Male,11,2013-11-10,Good,No,Abia,Ajeromi-Ifelodun,"61, Avenue in Ajeromi-Ifelodun, Lagos State",Boarding,oluwaseun.kelechi@laurelhigh.com,SS2,General,None,2017-09-01,2018-06-30
STU011,Lovina,Njoku,Female,15,2009-11-28,Good,No,Delta,Alimosho,"37, Street in Alimosho, Lagos State",Day,lovina.njoku@laurelhigh.com,SS3,Engineering,Debate,2021-09-01,2021-06-30
STU012,Terhemba,Okafor,Male,19,2005-03-02,Good,No,Oyo,Lagos Island,"61, Road in Lagos Island, Lagos State",Day,terhemba.okafor@laurelhigh.com,JSS3,General,"Sports, Music",2019-09-01,2022-06-30
STU013,Sadiq,Osakwe,Male,18,2006-06-12,Average,No,Delta,Badagry,"79, Street in Badagry, Lagos State",Boarding,sadiq.osakwe@laurelhigh.com,SS3,Pure Science,Clubs,2018-09-01,2018-06-30
STU014,Felix,Abdullahi,Male,20,2004-05-24,Average,No,Anambra,Ikorodu,"50, Avenue in Ikorodu, Lagos State",Boarding,felix.abdullahi@laurelhigh.com,SS3,Art,None,2017-09-01,2017-06-30
STU015,Ude,Udofia,Female,11,2013-07-21,Poor,No,Akwa Ibom,Epe,"40, Road in Epe, Lagos State",Boarding,ude.udofia@laurelhigh.com,SS2,Engineering,None,2020-09-01,2021-06-30
STU016,Esther,Oyeniran,Male,13,2011-04-08,Poor,No,Enugu,Kosofe,"44, Avenue in Kosofe, Lagos State",Day,esther.oyeniran@laurelhigh.com,SS3,General,None,2020-09-01,2020-06-30
STU017,Sunday,Yaro,Female,19,2005-03-06,Average,No,Anambra,Ikeja,"49, Street in Ikeja, Lagos State",Boarding,sunday.yaro@laurelhigh.com,SS3,Art,Sports,2017-09-01,2017-06-30
STU018,Nanle,Mohammed,Female,14,2010-08-08,Average,No,Kano,Epe,"97, Road in Epe, Lagos State",Boarding,nanle.mohammed@laurelhigh.com,JSS3,General,"Debate, Music",2019-09-01,2022-06-30
STU019,Lovina,Njoku,Male,18,2006-04-26,Good,No,Sokoto,Badagry,"54, Street in Badagry, Lagos State",Day,lovina.njoku@laurelhigh.com,SS1,General,Drama,2019-09-01,2021-06-30
STU020,Femi,Okafor,Male,17,2007-07-03,Good,No,Benue,Shomolu,"66, Street in Shomolu, Lagos State",Boarding,femi.okafor@laurelhigh.com,SS3,Pure Science,"Sports, Debate",2020-09-01,2020-06-30
STU021,Lovina,Anaba,Female,11,2013-01-11,Average,No,Enugu,Surulere,"48, Street in Surulere, Lagos State",Boarding,lovina.anaba@laurelhigh.com,SS3,Art,None,2019-09-01,2019-06-30
STU022,Agai,Adebayo,Female,19,2005-01-09,Poor,No,Bauchi,Ajeromi-Ifelodun,"1, Street in Ajeromi-Ifelodun, Lagos State",Day,agai.adebayo@laurelhigh.com,JSS1,General,Clubs,2020-09-01,2025-06-30
STU023,Haladu,Abraham,Female,11,2013-07-21,Average,No,Sokoto,Eti-Osa,"7, Street in Eti-Osa, Lagos State",Day,haladu.abraham@laurelhigh.com,SS2,General,None,2018-09-01,2019-06-30
STU024,Ngozi,Ibiam,Male,12,2012-01-20,Poor,No,Lagos,Oshodi-Isolo,"38, Avenue in Oshodi-Isolo, Lagos State",Boarding,ngozi.ibiam@laurelhigh.com,JSS2,General,None,2017-09-01,2021-06-30
STU025,Bisi,Usman,Female,18,2006-07-28,Average,No,Ogun,Badagry,"71, Street in Badagry, Lagos State",Day,bisi.usman@laurelhigh.com,JSS3,General,"Drama, Sports",2018-09-01,2021-06-30
STU026,Abdullahi,Ogunyemi,Male,15,2009-06-18,Good,No,Kano,Ibeju-Lekki,"18, Street in Ibeju-Lekki, Lagos State",Day,abdullahi.ogunyemi@laurelhigh.com,JSS2,General,"Debate, Clubs",2020-09-01,2024-06-30
STU027,Abiodun,Yahaya,Female,13,2011-01-11,Poor,Yes,Edo,Eti-Osa,"6, Street in Eti-Osa, Lagos State",Day,abiodun.yahaya@laurelhigh.com,SS3,Pure Science,"Clubs, Debate",2017-09-01,2017-06-30
