Last Name,First Name,Date of Birth,Gender,Address LGA,State of Origin,Geopolitical Zone,School Type,Schools LGA,Secondary School Living Arrangement,Digital methods in school,Weekly Hours Spent Reading,Mentor,Parents Occupation,Financial status,Future Ambition,Digital literacy,Extra Extracurricular Activities,Do you have a library in your school?,Library visit,Academic Stream,Attendance Rate,Study Habits,Behavioral Condition in School,Learning Environment,Private Tutors,Access to online Learning Platform,Supportive Home Environment,Parental Engagement in School Life,Qualified Teachers,Anxiety Before Exam,Do you understand English,Access to Practice Exams,Past Jamb Score,Credit pass in core five subjects
Asemota,Silas,2007-02-09,Male,Surulere,Yobe,South South,Private,Kosofe,Boarding,Yes,3 hours,Yes,Medical Professional,Middle Income,Businessperson,Medium,Music,No,Rarely,Commerce,8,Rarely,Average,Poor,Yes,Yes,No,Disagree,Yes,High,No,Yes,309,Yes
Udo,Ugonma,2010-10-24,Female,Kosofe,Kebbi,South West,Private,Oshodi-Isolo,Boarding,No,5 hours,No,Farmer,Middle Income,Teacher,Medium,None,No,Sometimes,Science,1,Occasional,Average,Poor,Yes,No,No,Strongly Disagree,Yes,High,No,Yes,174,No
Obi,Fatima,2007-12-01,Male,Kosofe,Enugu,North East,Public,Ifako-Ijaye,Day,Yes,1 hour,No,Medical Professional,Middle Income,Teacher,Medium,None,Yes,Often,Commerce,7,Rarely,Good,Good,Yes,Yes,Yes,Agree,Yes,Low,No,No,186,No
Elkanah,Chika,2006-02-25,Male,Ojo,Edo,North East,Public,Alimosho,Boarding,No,32 hours,No,Business,Middle Income,Doctor,Medium,None,No,Rarely,Commerce,3,Rarely,Excellent,Poor,Yes,Yes,No,Neutral,Yes,Low,No,No,182,No
Ishaya,Adamu,2011-09-05,Female,Surulere,Lagos,South East,Private,Lagos Island,Day,Yes,1 hour,No,Business,High Income,Engineer,Medium,Clubs,No,Sometimes,Arts,10,Occasional,Major Issues,Good,No,No,No,Strongly Agree,No,High,No,No,106,Yes
Stephen,Blessing,2005-09-21,Female,Agege,Akwa Ibom,North West,Private,Ibeju-Lekki,Boarding,No,3 hours,Yes,Teacher,High Income,Scientist,Medium,Music,Yes,Sometimes,Arts,4,Occasional,Major Issues,Good,Yes,Yes,No,Neutral,No,Medium,Yes,Yes,268,No
Femi,Binny,2006-08-07,Male,Epe,Adamawa,South East,Public,Ikeja,Day,No,10 hours,No,Civil Servant,Low Income,Developer,Medium,Music,No,Rarely,Science,3,Daily,Minor Issues,Good,No,Yes,Yes,Disagree,No,High,Yes,No,114,No
Hassan,Emmanuel,2008-08-10,Female,Mushin,Kogi,North East,Public,Ajeromi-Ifelodun,Boarding,No,10 hours,Yes,Teacher,High Income,Doctor,Low,Music,Yes,Often,Science,9,Occasional,Major Issues,Good,Yes,No,No,Strongly Agree,Yes,High,No,No,187,No
Arinze,Ude,2011-05-27,Male,Ajeromi-Ifelodun,Kano,South South,Private,Shomolu,Boarding,No,32 hours,Yes,Farmer,High Income,Businessperson,Low,Music,No,Rarely,Commerce,9,Rarely,Good,Average,Yes,Yes,Yes,Agree,Yes,High,No,Yes,175,Yes
Idris,Adewumi,2004-12-13,Female,Ibeju-Lekki,Enugu,North East,Public,Lagos Mainland,Boarding,Yes,32 hours,Yes,Medical Professional,High Income,Doctor,High,None,No,Often,Science,1,Occasional,Major Issues,Poor,Yes,Yes,No,Disagree,Yes,Medium,No,No,251,No
